Name,Tm,PA,H,2B,3B,HR
Whit Merrifield\merriwh01,KCR,735,206,41,10,16
Marcus Semien\semiema01,OAK,747,187,43,7,33
Rafael Devers*\deverra01,BOS,702,201,54,4,32
Jonathan Villar#\villajo01,BAL,714,176,33,5,24
Ozzie Albies#\albieoz01,ATL,702,189,43,8,24
Starlin Castro\castrst01,MIA,676,172,31,4,22
Eduardo Escobar#\escobed01,ARI,699,171,29,10,35
Jose Abreu\abreujo02,CHW,693,180,38,1,33
Jorge Polanco#\polanjo01,MIN,704,186,40,7,22
Ronald Acuna Jr.\acunaro01,ATL,715,175,22,2,41
Eric Hosmer*\hosmeer01,SDP,667,164,29,2,22
Amed Rosario\rosaram01,NYM,655,177,30,7,15
Nicholas Castellanos\casteni01,TOT,664,178,58,3,27
Xander Bogaerts\bogaexa01,BOS,698,190,52,0,33
Cesar Hernandez#\hernace02,PHI,667,171,31,3,14
Kevin Pillar\pillake01,TOT,645,158,37,3,21
DJ LeMahieu\lemahdj01,NYY,655,197,33,2,26
Trey Mancini\mancitr01,BAL,679,175,38,2,35
Elvis Andrus\andruel01,TEX,648,165,27,4,12
Francisco Lindor#\lindofr01,CLE,654,170,40,2,32
Pete Alonso\alonspe01,NYM,693,155,30,2,53
Mookie Betts\bettsmo01,BOS,706,176,40,5,29
Freddie Freeman*\freemfr01,ATL,692,176,34,2,38
Paul Goldschmidt\goldspa01,STL,682,155,25,1,34
David Fletcher\fletcda02,LAA,653,173,30,4,6
Jorge Soler\solerjo01,KCR,679,156,33,1,48
Nolan Arenado\arenano01,COL,662,185,31,2,41
Trevor Story\storytr01,COL,656,173,38,5,35
Manny Machado\machama01,SDP,661,150,21,2,32
Randal Grichuk\grichra01,TOR,628,136,29,5,31
Matt Chapman\chapmma01,OAK,670,145,36,3,36
Paul DeJong\dejonpa01,STL,664,136,31,1,30
Charlie Blackmon*\blackch02,COL,634,182,42,7,32
Leury Garcia#\garcile02,CHW,618,161,27,3,8
Jean Segura\segurje01,PHI,618,161,37,4,12
Michael Brantley*\brantmi02,HOU,637,179,40,2,22
J.D. Martinez\martijd02,BOS,657,175,33,2,36
Eugenio Suarez\suareeu01,CIN,662,156,22,2,49
Bryce Harper*\harpebr03,PHI,682,149,36,1,35
Carlos Santana#\santaca01,CLE,686,161,30,1,34
Rhys Hoskins\hoskirh01,PHI,705,129,33,5,29
Ketel Marte#\marteke01,ARI,628,187,36,9,32
Tommy Pham\phamth01,TBR,654,155,33,2,21
Adam Eaton*\eatonad02,WSN,656,158,25,7,15
Yuli Gurriel\gourryu01,HOU,612,168,40,2,31
Shin-Soo Choo*\choosh01,TEX,660,149,31,2,24
Lorenzo Cain\cainlo01,MIL,623,146,30,0,11
Eddie Rosario*\rosared01,MIN,590,155,28,1,32
Cody Bellinger*\bellico01,LAD,661,170,34,3,47
Freddy Galvis#\galvifr01,TOT,589,145,28,1,23
Nick Ahmed\ahmedni01,ARI,625,141,33,6,19
Alex Gordon*\gordoal01,KCR,633,148,31,1,13
Yasiel Puig\puigya01,TOT,611,148,30,2,24
Alex Bregman\bregmal01,HOU,690,164,37,2,41
Adam Frazier*\fraziad01,PIT,608,154,33,7,10
Kole Calhoun*\calhoko01,LAA,632,128,29,1,33
Michael Conforto*\confomi01,NYM,648,141,29,1,33
Josh Donaldson\donaljo02,ATL,659,142,33,0,37
Victor Robles\roblevi01,WSN,617,139,33,3,17
Gleyber Torres\torregl01,NYY,604,152,26,0,38
Anthony Rendon\rendoan01,WSN,646,174,44,3,34
Kris Bryant\bryankr01,CHC,634,153,35,1,31
Juan Soto*\sotoju01,WSN,659,153,32,5,34
Andrew Benintendi*\beninan01,BOS,615,144,40,5,13
Renato Nunez\nunezre01,BAL,599,132,24,0,31
Starling Marte\martest01,PIT,586,159,31,6,23
J.T. Realmuto\realmjt01,PHI,593,148,36,3,25
LgAvg per 600 PA,,600,134,27,2,22
Willy Adames\adamewi01,TBR,584,135,25,1,20
Javier Baez\baezja01,CHC,561,149,38,4,29
Austin Meadows*\meadoau01,TBR,591,154,29,7,33
Kyle Schwarber*\schwaky01,CHC,610,132,29,3,38
Christian Walker\walkech02,ARI,603,137,26,1,29
Josh Bell#\belljo02,PIT,613,146,37,3,37
Brandon Belt*\beltbr01,SFG,616,123,32,3,17
Joey Votto*\vottojo01,CIN,608,137,32,1,15
Hanser Alberto\alberha01,BAL,550,160,21,2,12
Max Kepler*\keplema01,MIN,596,132,32,0,36
Hunter Dozier\doziehu01,KCR,586,146,29,10,26
Mike Moustakas*\moustmi01,MIL,584,133,30,1,35
Rougned Odor*\odorro01,TEX,581,107,30,1,30
Trea Turner\turnetr01,WSN,569,155,37,5,19
Yasmani Grandal#\grandya01,MIL,632,126,26,2,28
Jason Heyward*\heywaja01,CHC,589,129,20,4,21
Anthony Rizzo*\rizzoan01,CHC,613,150,29,3,27
Yoan Moncada#\moncayo01,CHW,559,161,34,5,25
Jeff McNeil*\mcneije01,NYM,567,162,38,1,23
Mallex Smith*\smithma05,SEA,566,116,19,9,6
Jose Iglesias\iglesjo01,CIN,530,145,21,3,11
Josh Reddick*\reddijo01,HOU,550,138,19,3,14
Jose Altuve\altuvjo01,HOU,548,149,27,3,31
Brandon Crawford*\crawfbr01,SFG,560,114,24,2,11
Tim Anderson\anderti01,CHW,518,167,32,0,18
Yolmer Sanchez#\sanchca01,CHW,555,125,20,4,2
Orlando Arcia\arciaor01,MIL,546,110,16,1,15
Jackie Bradley Jr.*\bradlja02,BOS,567,111,28,3,21
Franmil Reyes\reyesfr01,TOT,548,123,19,0,37
Miguel Cabrera\cabremi01,DET,549,139,21,0,12
Kevin Newman\newmake01,PIT,531,152,20,6,12
Brett Gardner*\gardnbr01,NYY,550,123,26,7,28
Albert Pujols\pujolal01,LAA,545,120,22,0,23
Bryan Reynolds#\reynobr01,PIT,546,154,37,4,16
Avisail Garcia\garciav01,TBR,530,138,25,2,20
Corey Seager*\seageco01,LAD,541,133,44,1,19
Christian Yelich*\yelicch01,MIL,580,161,29,3,44
Dexter Fowler#\fowlede01,STL,574,116,24,1,19
Max Muncy*\muncyma01,LAD,589,122,22,1,35
Adam Jones\jonesad01,ARI,528,126,25,1,16
Marcell Ozuna\ozunama01,STL,549,117,23,1,29
Matt Olson*\olsonma02,OAK,547,129,26,0,36
Miguel Rojas\rojasmi02,MIA,526,137,29,1,5
Dansby Swanson\swansda01,ATL,545,121,26,3,17
Jose Ramirez#\ramirjo01,CLE,542,123,33,3,23
Christian Vazquez\vazquch01,BOS,521,133,26,1,23
Khris Davis\daviskh01,OAK,533,106,11,0,23
Ryan McMahon*\mcmahry01,COL,539,120,22,1,24
George Springer\springe01,HOU,556,140,20,3,39
Justin Turner\turneju01,LAD,549,139,24,0,27
Kolten Wong*\wongko01,STL,549,136,25,4,11
Danny Santana#\santada01,TEX,511,134,23,6,28
Wilson Ramos\ramoswi01,NYM,524,136,19,0,14
Mike Trout\troutmi01,LAA,600,137,27,2,45
Eloy Jimenez\jimenel02,CHW,504,125,18,2,31
Colin Moran*\moranco01,PIT,503,129,30,1,13
Vladimir Guerrero Jr.\guerrvl02,TOR,514,126,26,2,15
Daniel Vogelbach*\vogelda01,SEA,558,96,17,0,30
Brian Anderson\anderbr06,MIA,520,120,33,1,20
Ryan Braun\braunry02,MIL,508,131,31,2,22
Jurickson Profar#\profaju01,OAK,518,100,24,2,20
C.J. Cron\croncj01,MIN,499,116,24,0,25
Scott Kingery\kingesc01,PHI,500,118,34,4,19
Jason Kipnis*\kipnija01,CLE,511,112,23,1,17
Nelson Cruz\cruzne02,MIN,521,141,26,0,41
Evan Longoria\longoev01,SFG,508,115,19,2,20
Domingo Santana\santado01,SEA,507,114,20,1,21
Joc Pederson*\pederjo01,LAD,514,112,16,3,36
Asdrubal Cabrera#\cabreas01,TOT,514,116,25,1,18
Todd Frazier\frazito01,NYM,499,112,19,2,21
Kevin Kiermaier*\kiermke01,TBR,480,102,20,7,14
Ian Desmond\desmoia01,COL,482,113,31,4,20
Gio Urshela\urshegi01,NYY,476,139,34,0,21
Hunter Renfroe\renfrhu01,SDP,494,95,19,1,33
James McCann\mccanja02,CHW,476,120,26,1,18
Oscar Mercado\mercaos01,CLE,482,118,25,3,15
Daniel Murphy*\murphda08,COL,478,122,35,1,13
Joe Panik*\panikjo01,TOT,491,107,21,2,5
Wil Myers\myerswi01,SDP,490,104,22,1,18
Ramon Laureano\laurera01,OAK,481,125,29,0,24
Jonathan Schoop\schoojo01,MIN,464,111,23,1,23
Jorge Alfaro\alfarjo01,MIA,465,113,14,1,18
Nomar Mazara*\mazarno01,TEX,469,115,27,1,19
Luke Voit\voitlu01,NYY,510,113,21,1,21
Omar Narvaez*\narvaom01,SEA,482,119,12,0,22
Raimel Tapia*\tapiara01,COL,447,117,23,5,9
Marwin Gonzalez#\gonzama01,MIN,463,112,19,0,15
Niko Goodrum#\goodrni01,DET,472,105,27,5,12
Harold Ramirez\ramirha02,MIA,446,116,20,3,11
Robbie Grossman#\grossro01,OAK,482,101,21,3,6
Yadier Molina\molinya01,STL,452,113,24,0,10
Brandon Drury\drurybr01,TOR,447,91,21,1,15
Edwin Encarnacion\encared01,TOT,486,102,18,0,34
Teoscar Hernandez\hernate01,TOR,464,96,19,2,26
Matt Carpenter*\carpema01,STL,492,94,20,2,15
Brian Dozier\doziebr01,WSN,482,99,20,0,20
Adalberto Mondesi#\mondera02,KCR,443,109,20,10,9
Enrique Hernandez\hernaen02,LAD,460,98,19,1,17
Nick Markakis*\markani01,ATL,469,118,25,2,9
Justin Smoak#\smoakju01,TOR,500,86,16,0,22
Brian Goodwin*\goodwbr01,LAA,458,108,29,3,17
Mark Canha\canhama01,OAK,497,112,16,3,26
Ji-Man Choi*\choiji01,TBR,487,107,20,2,19
J.D. Davis\davisjd01,NYM,453,126,22,1,22
Buster Posey\poseybu01,SFG,445,104,24,0,7
Jarrod Dyson*\dysonja01,ARI,452,92,11,2,7
Manuel Margot\margoma01,SDP,441,93,19,3,12
Andrelton Simmons\simmoan01,LAA,424,105,19,0,7
Gary Sanchez\sanchga02,NYY,446,92,12,1,34
Eric Sogard*\sogarer01,TOT,442,115,23,2,13
Eric Thames*\thameer01,MIL,459,98,23,2,25
Dee Gordon*\gordode01,SEA,421,108,12,6,3
Kyle Seager*\seageky01,SEA,443,94,19,1,23
Brandon Dixon\dixonbr01,DET,420,97,20,4,15
Robinson Cano*\canoro01,NYM,423,100,28,0,13
Maikel Franco\francma02,PHI,428,91,17,0,17
Roberto Perez\perezro02,CLE,449,93,9,1,24
Shohei Ohtani*\ohtansh01,LAA,425,110,20,5,18
David Peralta*\peralda01,ARI,423,105,29,3,12
Garrett Cooper\coopega03,MIA,421,107,16,1,15
Miguel Sano\sanomi01,MIN,439,94,19,2,34
Anthony Santander#\santaan02,BAL,405,99,20,1,20
Nicky Lopez*\lopezni01,KCR,402,91,22,2,2
Melky Cabrera#\cabreme01,PIT,397,106,22,1,7
Aaron Judge\judgeaa01,NYY,447,103,18,1,27
Jose Peraza\perazjo01,CIN,403,90,18,2,6
Nick Senzel\senzeni01,CIN,414,96,20,4,12
David Dahl*\dahlda01,COL,413,113,28,5,15
Jake Bauers*\bauerja01,CLE,423,84,16,1,12
Mike Yastrzemski*\yastrmi01,SFG,411,101,22,3,21
Rio Ruiz*\ruizri01,BAL,413,86,13,2,12
Rowdy Tellez*\tellero01,TOR,409,84,19,0,21
Christin Stewart*\stewach02,DET,416,86,25,1,10
Robinson Chirinos\chiriro01,HOU,437,87,22,1,17
Chris Taylor\tayloch03,LAD,414,96,29,4,12
Willson Contreras\contrwi01,CHC,409,98,18,2,24
Tony Wolters*\wolteto01,COL,411,94,17,2,1
Delino DeShields\deshide02,TEX,408,89,15,4,4
Stephen Piscotty\piscost01,OAK,393,89,17,1,13
Luis Rengifo#\rengilu01,LAA,406,85,18,3,7
Dwight Smith Jr.*\smithdw02,BAL,392,86,16,3,13
Cavan Biggio*\biggica01,TOR,430,83,17,2,16
Harold Castro*\castrha01,DET,369,103,10,4,5
